Genus,species
Adelpha,cytherea
Agraulis,vanillae
Anteos,clorinde
Appias,drusilla
Archaeoprepona,demophon
Battus,belus
Battus,polydamas
Caligo,atreus
Caligo,bellerophon
Caligo,eurilochus
Caligo,illioneus
Caligo,telamonius
Caligo,spp.
Catonephele,numilia
Cethosia,biblis
Consul,fabius
Danaus,chrysippus
Danaus,gilippus
Danaus,plexippus
Dione,juno
Doleschallia,bisaltide
Dryadula,phaetusa
Dryas,iulia
Eueides,isabella
Graphium,agamemnon
Greta,oto
Hamadryas,amphinome
Hamadryas,arinome
Hamadryas,februa
Hamadryas,feronia
Hamadryas,laodamia
Hamadryas,spp.
Hebomoia,glaucippe
Heliconius,atthis
Heliconius,charithonia
Heliconius,cydno
Heliconius,doris
Heliconius,erato
Heliconius,hecale
Heliconius,hewitsoni
Heliconius,ismenius
Heliconius,melpomene
Heliconius,numata
Heliconius,sapho
Heliconius,sara
Heliconius,telesiphe
Heliconius,timareta
Hypolimnas,bolina
Idea,leuconoe
Ideopsis,juventa
Mechanitis,polymnia
Memphis,eurypyle
Methona,confusa
Morpho,achilles
Morpho,peleides
Morpho,spp.
Myscelia,cyaniris
Opsiphanes,cassina
Opsiphanes,tamarindi
Pachliopta,kotzebuea
Papilio,anchisiades
Papilio,cresphontes
Papilio,demoleus
Papilio,lowii
Papilio,palinurus
Papilio,polytes
Papilio,rumanzovia
Papilio,thoas
Papilio,torquatus
Parides,eurimedes
Parides,iphidamas
Parides,montezuma
Parides,photinus
Parthenos,sylvia
Phoebis,philea
Prepona,omphale
Siproeta,epaphus
Siproeta,stelenes
Smyrna,blomfildia
Tithorea,harmonia
Tithorea,tarricina
Troides,rhadamantus
Vindula,dejone
