Sp1,Sp2,Condition,Choice-Mating,Hybrid-Egg,Hybrid-Adult,One-Sex-Fertile-Hybrids,Fertile-Hybrids,Authors,Year
Busseola fusca,Busseola nairobica,Laboratory,N,N,N,N,N,"Felix, AE; Calatayud, PA; Le Ru, B; Capdevielle-Dulac, C; Ong'amo, G; Silvain, JF; Frerot, B.",2014
Busseola segeta,Busseola nairobica,Laboratory,N,Y,N,N,N,"Felix, AE; Calatayud, PA; Le Ru, B; Capdevielle-Dulac, C; Ong'amo, G; Silvain, JF; Frerot, B.",2014
Busseola segeta,Busseola fusca,Laboratory,N,N,N,N,N,"Felix, AE; Calatayud, PA; Le Ru, B; Capdevielle-Dulac, C; Ong'amo, G; Silvain, JF; Frerot, B.",2014
Chloridea virescens,Heliothis subflexa,Laboratory,Y,Y,Y,Y,N,"Hillier, NK; Vickers, NJ. ",2011
Choristoneura fumiferana,Choristoneura pinus,Field,Y,Y,Y,Y,?,"Deverno, LL; Smith, GA; Harrison, KJ.",1998
Choristoneura fumiferana,Choristoneura occidentalis,Field,Y,Y,Y,?,?,"Nelson, TD; MacDonald, ZG; Sperling, FAH.",2022
Colias eurytheme,Colias philodice,Field,Y,Y,Y,Y,Y,"MEYERROCHOW, VB.",1991
Dahlica charlottae,Dahlica lazuri,Laboratory,Y,Y,N,N,N,"Elzinga, JA; Mappes, J; Kaila, L.",2014
Dahlica charlottae,Dahlica lichenella,Laboratory,Y,Y,N,N,N,"Elzinga, JA; Mappes, J; Kaila, L.",2014
Dahlica charlottae,Siederia listerella,Laboratory,Y,N,N,N,N,"Elzinga, JA; Mappes, J; Kaila, L.",2014
Dahlica charlottae,Siederia rupicolella,Laboratory,Y,N,N,N,N,"Elzinga, JA; Mappes, J; Kaila, L.",2014
Dahlica lazuri,Dahlica lichenella,Laboratory,Y,Y,N,N,N,"Elzinga, JA; Mappes, J; Kaila, L.",2014
Dahlica lazuri,Siederia listerella,Laboratory,Y,Y,N,N,N,"Elzinga, JA; Mappes, J; Kaila, L.",2014
Dahlica lazuri,Siederia rupicolella,Laboratory,Y,Y,N,N,N,"Elzinga, JA; Mappes, J; Kaila, L.",2014
Dahlica lichenella,Siederia listerella,Laboratory,Y,N,N,N,N,"Elzinga, JA; Mappes, J; Kaila, L.",2014
Dahlica lichenella,Siederia rupicolella,Laboratory,Y,Y,N,N,N,"Elzinga, JA; Mappes, J; Kaila, L.",2014
Danaus chrysippus,Danaus genutia,Field,Y,N,N,N,N,"Baidya, S; Basu, DN; Roy, S; Roy, AB.",2018
