Suborder,Family,Sp1,Sp2,Condition,MainTopic,Authors,Year,Article
"""Moth""",Zygaenidae,Adscita alpina,Adscita italica,Field,Yes,"Efetov, KA; Kucherenko, EE; Tarmann, GM.",2020,"An application of the synthetic sex attractants from the series ""EFETOV-2"" for studying Procridinae in Italy (Lepidoptera: Zygaenidae)"
"""Moth""",Noctuidae,Agrotis ipsilon,Agrotis segetum,Laboratory,Yes,"Gadenne, C; Picimbon, JF; Becard, JM; LalanneCassou, B; Renou, M.",1997,Development and pheromone communication systems in hybrids of Agrotis ipsilon and Agrotis segetum (Lepidoptera: Noctuidae)
"""Butterfly""",Lycaenidae,Ahlbergia frivaldszkyi,Callophrys rubi,Field,Yes,"Shapoval, NA; Yakovlev, RV; Kuftina, GN; Lukhtanov, VA; Knyazev, SA; Romanovich, AE; Krupitsky, AV. 2021",2021,"Identification of Natural Hybrids between Ahlbergia frivaldszkyi (Lederer, 1853) and Callophrys rubi (Linnaeus, 1758) (Lepidoptera, Lycaenidae) Using Mitochondrial and Nuclear Markers"
"""Butterfly""",Nymphalidae,Anartia amathea,Anartia fatima,Field,Yes,"Dasmahapatra, KK; Blum, MJ; Aiello, A; Hackwell, S; Davies, N; Bermingham, EP; Mallett, T.",2002,Inferences from a rapidly moving hybrid zone
"""Moth""",Saturniidae,Antheraea pernyi,Antheraea roylei,Field,Yes,"Yang, J; Zhang, RS; Chen, DB; Chen, MM; Li, YP; Liu, YQ.",2019,The complete mitochondrial genome of Antheraea proylei strain In981 (Lepidoptera: Saturniidae)
"""Moth""",Saturniidae,Antheraea pernyi,Antheraea yamamai,Laboratory,Yes,"SHIMADA, T; YAMAUCHI, H; KOBAYASHI, M.",1988,"DIAPAUSE OF THE INTER-SPECIFIC F1 HYBRIDS BETWEEN ANTHERAEA-YAMAMAI (GUERIN-MENEVILLE) AND ANTHERAEA-PERNYI (G-M) (LEPIDOPTERA, SATURNIIDAE)"
"""Butterfly""",Pieridae,Anthocharis cardamines,Anthocharis euphenoides,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Anthocharis cardamines,Euchloe ausonia,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Anthocharis cardamines,Euchloe simplonia,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Lycaenidae,Aricia agestis,Aricia artaxerxes,Field,Yes,"Aagaard, K; Hindar, K; Pullin, AS; James, CH; Hammarstedt, O; Balstad, T; Hanssen, O.",2002,Phylogenetic relationships in brown argus butterflies (Lepidoptera : Lycaenidae : Aricia) from north-western Europe
"""Butterfly""",Lycaenidae,Aricia agestis,Polyommatus artaxerxes,Field,Yes,"Mallet, J; Wynne, IR; Thomas, CD.",2011,Hybridisation and climate change: brown argus butterflies in Britain (Polyommatus subgenus Aricia)
"""Moth""",Saturniidae,Callosamia angulifera,Callosamia promethea,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Saturniidae,Callosamia angulifera,Callosamia securifera,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Saturniidae,Callosamia angulifera,Hyalophora cecropia,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Saturniidae,Callosamia promethea,Callosamia securifera,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Notodontidae,Cerura erminea,Cerura vinula,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Noctuidae,Chloridea subflexa,Chloridea virescens,Laboratory,Yes,"GOODPASTURE, C; LACHANCE, LE; RICHARD, RD.",1980,"PERSISTENCE OF ABNORMAL SPERMIOGENESIS IN THE BACKCROSS GENERATIONS OF INTERSPECIFIC HYBRIDS BETWEEN HELIOTHIS-VIRESCENS X HELIOTHISSUBFLEXA (LEPIDOPTERA, NOCTUIDAE)"
"""Moth""",Tortricidae,Choristoneura biennis,Choristoneura fumiferana,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Tortricidae,Choristoneura biennis,Choristoneura occidentalis,Laboratory,Yes,"Nealis, VG.",2005,Diapause and voltinism in western and 2-year-cycle spruce budworms (Lepidoptera : Tortricidae) and their hybrid progeny
"""Moth""",Tortricidae,Choristoneura fumiferana,Choristoneura occidentalis,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Tortricidae,Choristoneura fumiferana,Choristoneura pinus,Field,Yes,"Deverno, LL; Smith, GA; Harrison, KJ.",1998,Randomly amplified polymorphic DNA evidence of introgression in two closely related sympatric species of coniferophagous Choristoneura (Lepidoptera : Tortricidae) in Atlantic Canada
"""Moth""",Tortricidae,Choristoneura fumiferana,Choristoneura retiniana,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Tortricidae,Choristoneura occidentalis,Choristoneura pinus,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Tortricidae,Choristoneura occidentalis,Choristoneura retiniana,Laboratory,Yes,"VOLNEY, WJA; LIEBHOLD, AM.",1985,"POSTDIAPAUSE DEVELOPMENT OF SYMPATRIC CHORISTONEURA-OCCIDENTALIS AND CHORISTONEURA-RETINIANA (LEPIDOPTERA, TORTRICIDAE) AND THEIR HYBRIDS"
"""Moth""",Tortricidae,Choristoneura pinus,Choristoneura retiniana,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Saturniidae,Citheronia regalis,Citheronia splendens,Laboratory,Yes,"Adamski, D; Marques, D; Mayo, KG; Mayo, R.",2019,DESCRIPTION OF LARVAL AND PUPAL STAGES OF A BILATERAL GYNANDROMORPH REARED FROM A CROSS BETWEEN CITHERONIA REGALIS (FABR.) AND C. SPLENDENS (DRUCE) (LEPIDOPTERA: SATURNIIDAE)
"""Moth""",Notodontidae,Clostera anachoreta,Clostera curtula,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Notodontidae,Clostera anachoreta,Clostera pigra,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Notodontidae,Clostera apicalis,Clostera pigra,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Notodontidae,Clostera curtula,Clostera pigra,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
