Genus	Sp1	Sp2	Distance	hybrid	Condition.hybridization	Authors.hybridization	Year.hybridization	Article	barriers	Authors.barriers	Year.barriers	Condition.barriers	Choice.Mating	Hybrid.Egg	Hybrid.Adult	One.Sex.Fertile.Hybrids	Fertile.Hybrids
Battus	Battus belus	Battus polydamas	0.0879732739420935	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Caligo	Caligo atreus	Caligo eurilochus	0.0775075987841945	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Caligo	Caligo atreus	Caligo illioneus	0.078740157480315	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Caligo	Caligo atreus	Caligo telamonius	0.079136690647482	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Caligo	Caligo eurilochus	Caligo illioneus	0.0442073170731707	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Caligo	Caligo eurilochus	Caligo telamonius	0.0364741641337386	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Caligo	Caligo illioneus	Caligo telamonius	0.125	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Danaus	Danaus chrysippus	Danaus gilippus	0.0672	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Danaus	Danaus chrysippus	Danaus plexippus	0.081781914893617	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Danaus	Danaus gilippus	Danaus plexippus	0.0666666666666667	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Hamadryas	Hamadryas amphinome	Hamadryas arinome	0.0208613728129206	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Hamadryas	Hamadryas amphinome	Hamadryas februa	0.0456182472989196	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Hamadryas	Hamadryas amphinome	Hamadryas feronia	0.0615234375	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Hamadryas	Hamadryas amphinome	Hamadryas laodamia	0.0502376103190767	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Hamadryas	Hamadryas arinome	Hamadryas februa	0.0432172869147659	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Hamadryas	Hamadryas arinome	Hamadryas feronia	0.0556640625	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Hamadryas	Hamadryas arinome	Hamadryas laodamia	0.0515603799185889	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Hamadryas	Hamadryas februa	Hamadryas feronia	0.0540865384615385	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Hamadryas	Hamadryas februa	Hamadryas laodamia	0.0554885404101327	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
